dia,susceptibles,infectados,recuperados,muertos
239,916089,11816,65604,6491
240,915397,11877,66168,6558
241,914682,11941,66758,6619
242,913968,12013,67340,6679
243,913238,12095,67932,6735
244,912522,12104,68573,6801
245,911819,12151,69181,6849
246,911067,12240,69783,6910
247,910359,12235,70438,6968
248,909628,12248,71073,7051
249,908881,12344,71664,7111
250,908126,12418,72287,7169
251,907393,12464,72909,7234
252,906638,12525,73556,7281
253,905877,12553,74228,7342
254,905162,12596,74837,7405
255,904424,12635,75474,7467
256,903660,12733,76054,7553
257,902934,12765,76692,7609
258,902167,12831,77323,7679
259,901406,12857,77990,7747
260,900649,12883,78659,7809
261,899850,13032,79257,7861
262,899083,13110,79860,7947
263,898337,13149,80493,8021
264,897535,13214,81169,8082
265,896756,13272,81822,8150
266,895947,13334,82496,8223
267,895177,13435,83101,8287
268,894410,13481,83754,8355
269,893610,13546,84427,8417
270,892791,13624,85110,8475
271,891997,13663,85796,8544
272,891236,13691,86471,8602
273,890431,13719,87184,8666
274,889628,13782,87862,8728
275,888837,13841,88536,8786
276,888052,13851,89238,8859
277,887212,13918,89944,8926
278,886405,13965,90624,9006
279,885593,14039,91282,9086
280,884794,14077,91985,9144
281,883992,14108,92682,9218
282,883161,14130,93420,9289
283,882348,14161,94131,9360
284,881537,14203,94819,9441
285,880713,14252,95531,9504
286,879894,14326,96202,9578
287,879067,14383,96885,9665
288,878234,14442,97578,9746
289,877410,14454,98312,9824
290,876568,14461,99062,9909
291,875707,14535,99783,9975
292,874865,14575,100518,10042
293,873972,14695,101227,10106
294,873119,14743,101956,10182
295,872213,14847,102673,10267
296,871314,14914,103419,10353
297,870405,15024,104153,10418
298,869548,15002,104941,10509
299,868664,15062,105671,10603
300,867796,15132,106384,10688
301,866918,15181,107127,10774
302,866033,15185,107920,10862
303,865150,15215,108694,10941
304,864240,15231,109503,11026
305,863374,15260,110253,11113
306,862508,15257,111053,11182
307,861613,15312,111818,11257
308,860725,15383,112563,11329
309,859800,15469,113337,11394
310,858894,15537,114104,11465
311,857990,15567,114893,11550
312,857086,15619,115666,11629
313,856182,15623,116490,11705
314,855255,15690,117268,11787
315,854374,15673,118077,11876
316,853482,15706,118844,11968
317,852559,15751,119654,12036
318,851624,15815,120452,12109
319,850704,15894,121211,12191
320,849785,15935,122020,12260
321,848871,15980,122815,12334
322,847913,16076,123591,12420
323,846987,16087,124428,12498
324,846051,16189,125194,12566
325,845085,16243,126024,12648
326,844103,16359,126815,12723
327,843162,16431,127609,12798
328,842195,16499,128440,12866
329,841207,16610,129246,12937
330,840273,16586,130130,13011
331,839296,16594,131010,13100
332,838316,16661,131845,13178
333,837323,16762,132642,13273
334,836343,16864,133429,13364
335,835371,16872,134295,13462
336,834374,16953,135127,13546
337,833364,17026,135968,13642
338,832377,17094,136828,13701
339,831381,17128,137711,13780
340,830372,17187,138560,13881
341,829383,17211,139433,13973
342,828363,17283,140306,14048
343,827365,17331,141169,14135
344,826388,17329,142063,14220
345,825346,17419,142939,14296
346,824298,17517,143792,14393
347,823261,17604,144662,14473
348,822262,17613,145564,14561
349,821238,17666,146443,14653
350,820247,17708,147326,14719
351,819218,17771,148186,14825
352,818203,17820,149073,14904
353,817147,17943,149914,14996
354,816090,17977,150859,15074
355,815056,18040,151743,15161
356,814017,18081,152644,15258
357,812947,18159,153537,15357
358,811894,18256,154384,15466
359,810852,18267,155324,15557
360,809797,18376,156166,15661
361,808753,18443,157063,15741
362,807703,18429,158022,15846
363,806671,18424,158963,15942
364,805569,18513,159880,16038
365,804504,18579,160799,16118
